1,100,100,140,-59.09,1
2,100,121.05,140,-59.67,2
3,100,142.11,140,-59.87,2
4,100,163.16,140,-59.65,2
5,100,184.21,140,-58.89,2
6,100,205.26,140,-57.99,2
7,100,226.32,140,-59.91,2
8,100,247.37,140,-57.43,2
9,100,268.42,140,-59.01,2
10,100,289.47,140,-59.23,2
11,100,310.53,140,-60.95,2
12,100,331.58,140,-59.71,2
13,100,352.63,140,-59.98,2
14,100,373.68,140,-56.91,2
15,100,394.74,140,-59.99,2
16,100,415.79,140,-62.71,2
17,100,436.84,140,-57.44,2
18,100,457.89,140,-62.92,2
19,100,478.95,140,-61.1,2
20,100,500,140,-65.21,2
21,121.05,100,140,-59.57,2
22,121.05,121.05,140,-56.05,2
23,121.05,142.11,140,-58.77,2
24,121.05,163.16,140,-59,2
25,121.05,184.21,140,-59.05,2
26,121.05,205.26,140,-59.12,2
27,121.05,226.32,140,-58.51,2
28,121.05,247.37,140,-58.97,2
29,121.05,268.42,140,-57.42,2
30,121.05,289.47,140,-59.24,2
31,121.05,310.53,140,-57.16,2
32,121.05,331.58,140,-57.51,2
33,121.05,352.63,140,-57.69,2
34,121.05,373.68,140,-58.96,2
35,121.05,394.74,140,-56.85,2
36,121.05,415.79,140,-60.11,2
37,121.05,436.84,140,-55.84,2
38,121.05,457.89,140,-59.73,2
39,121.05,478.95,140,-57.04,2
40,121.05,500,140,-59.01,2
41,142.11,100,140,-60.07,2
42,142.11,121.05,140,-59.29,2
43,142.11,142.11,140,-59.47,2
44,142.11,163.16,140,-59.32,2
45,142.11,184.21,140,-57.28,2
46,142.11,205.26,140,-58.19,2
47,142.11,226.32,140,-56.71,2
48,142.11,247.37,140,-58.66,2
49,142.11,268.42,140,-59.69,2
50,142.11,289.47,140,-58.04,2
51,142.11,310.53,140,-57.55,2
52,142.11,331.58,140,-58.87,2
53,142.11,352.63,140,-58.42,2
54,142.11,373.68,140,-57.43,2
55,142.11,394.74,140,-58.25,2
56,142.11,415.79,140,-57.09,2
57,142.11,436.84,140,-57.67,2
58,142.11,457.9,140,-56.19,2
59,142.11,478.95,140,-57.54,2
60,142.11,500,140,-59.82,2
61,163.16,100,140,-60.54,2
62,163.16,121.05,140,-58.25,2
63,163.16,142.11,140,-58.35,2
64,163.16,163.16,140,-59.09,2
65,163.16,184.21,140,-58.87,2
66,163.16,205.26,140,-55.68,2
67,163.16,226.32,140,-57.41,2
68,163.16,247.37,140,-59.03,2
69,163.16,268.42,140,-59.41,2
70,163.16,289.47,140,-57.78,2
71,163.16,310.53,140,-57.77,2
72,163.16,331.58,140,-57.96,2
73,163.16,352.63,140,-57.41,2
74,163.16,373.68,140,-57.52,2
75,163.16,394.74,140,-57.72,2
76,163.16,415.79,140,-59.49,2
77,163.16,436.84,140,-56.62,2
78,163.16,457.89,140,-59.14,2
79,163.16,478.95,140,-56.68,2
80,163.16,500,140,-61.41,2
81,184.21,100,140,-57.8,2
82,184.21,121.05,140,-58.77,2
83,184.21,142.11,140,-58.95,2
84,184.21,163.16,140,-59.57,2
85,184.21,184.21,140,-59.42,2
86,184.21,205.26,140,-54.71,2
87,184.21,226.32,140,-58.59,2
88,184.21,247.37,140,-57.73,2
89,184.21,268.42,140,-57.13,2
90,184.21,289.47,140,-59.13,2
91,184.21,310.53,140,-58.83,2
92,184.21,331.58,140,-58.19,2
93,184.21,352.63,140,-57.25,2
94,184.21,373.68,140,-57.7,2
95,184.21,394.74,140,-58.55,2
96,184.21,415.79,140,-57.97,2
97,184.21,436.84,140,-59.36,2
98,184.21,457.89,140,-58.24,2
99,184.21,478.95,140,-58.69,2
100,184.21,500,140,-60.47,2
101,205.26,100,140,-60.12,2
